username,world_number,timestamp,logged_in_time,attack_level,attack_xp,defence_level,defence_xp,strength_level,strength_xp,hitpoints_level,hitpoints_xp,ranged_level,ranged_xp,prayer_level,prayer_xp,magic_level,magic_xp,cooking_level,cooking_xp,woodcutting_level,woodcutting_xp,fletching_level,fletching_xp,fishing_level,fishing_xp,firemaking_level,firemaking_xp,crafting_level,crafting_xp,smithing_level,smithing_xp,mining_level,mining_xp,herblore_level,herblore_xp,agility_level,agility_xp,thieving_level,thieving_xp,slayer_level,slayer_xp,farming_level,farming_xp,runecraft_level,runecraft_xp,hunter_level,hunter_xp,construction_level,construction_xp,coins,coins_bank,coins_inventory,cowhides,cowhides_bank,cowhides_inventory,logs,logs_bank,logs_inventory,leather,leather_bank,leather_inventory,bow_string,bow_string_bank,bow_string_inventory,iron_bar,iron_bar_bank,iron_bar_inventory,steel_bar,steel_bar_bank,steel_bar_inventory,coal,coal_bank,coal_inventory,iron_ore,iron_ore_bank,iron_ore_inventory,raw_fish,raw_fish_bank,raw_fish_inventory,cooked_fish,cooked_fish_bank,cooked_fish_inventory,bronze_bar,bronze_bar_bank,bronze_bar_inventory,silver_bar,silver_bar_bank,silver_bar_inventory,gold_bar,gold_bar_bank,gold_bar_inventory,mithril_bar,mithril_bar_bank,mithril_bar_inventory,adamant_bar,adamant_bar_bank,adamant_bar_inventory,rune_bar,rune_bar_bank,rune_bar_inventory,bronze_ore,bronze_ore_bank,bronze_ore_inventory,silver_ore,silver_ore_bank,silver_ore_inventory,gold_ore,gold_ore_bank,gold_ore_inventory,mithril_ore,mithril_ore_bank,mithril_ore_inventory,adamant_ore,adamant_ore_bank,adamant_ore_inventory,rune_ore,rune_ore_bank,rune_ore_inventory,willow_logs,willow_logs_bank,willow_logs_inventory,oak_logs,oak_logs_bank,oak_logs_inventory,maple_logs,maple_logs_bank,maple_logs_inventory,yew_logs,yew_logs_bank,yew_logs_inventory,magic_logs,magic_logs_bank,magic_logs_inventory,redwood_logs,redwood_logs_bank,redwood_logs_inventory,inventory_coins,equipped_helmet,equipped_cape,equipped_amulet,equipped_weapon,equipped_body,equipped_shield,equipped_legs,equipped_gloves,equipped_boots,equipped_ring,inventory_logs,inventory_amulet_of_strength,inventory_leather_gloves,inventory_grey_boots,inventory_blue_cape,inventory_emerald_ring,inventory_iron_scimitar,inventory_steel_scimitar,inventory_mithril_scimitar,inventory_adamant_scimitar,inventory_trout,inventory_knife
Batquinn,417,2026-01-28T15:19:31.945455,4608.272742271423,10,1164,16,2964,18,3924,18,3789,1,12,1,0,1,7,1,70,22,5675,1,0,1,10,1,40,24,7103,1,18,1,35,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,20253857,0,0,0,0,0,10,71,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20253857,,Blue cape,Amulet of strength,Black scimitar,Zamorak monk top,Chronicle,Zamorak monk bottom,Leather gloves,Grey boots,Emerald ring,10,,,,,,,,,,,
detected_17000,571,2026-01-28T06:27:46.757807,1.061800241470337,10,1164,16,2964,18,3924,18,3789,1,12,1,0,1,7,1,70,22,5675,1,0,1,10,1,40,24,7103,1,18,1,35,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,20253857,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20253857,,Blue cape,Amulet of strength,Black scimitar,Zamorak monk top,Chronicle,Zamorak monk bottom,Leather gloves,Grey boots,Emerald ring,10,,,,,,,,,,,
tree_bologna,497,2026-02-05T22:59:52.002006,1759.524093389511,17,3132,17,3120,17,3372,19,4291,1,12,1,0,1,9,37,30060,6,525,1,0,44,55810,1,40,1,0,1,18,1,35,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Steel axe,,,,,,,,,,,,,,,,,,1
