username,world_number,timestamp,session_time,total_session_time,attack_level,attack_xp,defence_level,defence_xp,strength_level,strength_xp,hitpoints_level,hitpoints_xp,ranged_level,ranged_xp,prayer_level,prayer_xp,magic_level,magic_xp,cooking_level,cooking_xp,woodcutting_level,woodcutting_xp,fletching_level,fletching_xp,fishing_level,fishing_xp,firemaking_level,firemaking_xp,crafting_level,crafting_xp,smithing_level,smithing_xp,mining_level,mining_xp,herblore_level,herblore_xp,agility_level,agility_xp,thieving_level,thieving_xp,slayer_level,slayer_xp,farming_level,farming_xp,runecraft_level,runecraft_xp,hunter_level,hunter_xp,construction_level,construction_xp
megstaralex,555,2025-10-25T03:48:44.919432,592.597638130188,25490.15297961235,14,2264,5,476,15,2420,16,2834,1,12,1,0,1,7,1,70,31,15500,1,0,1,10,1,40,60,291033,1,18,1,35,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Ivankingbold,398,2025-10-25T03:48:43.413660,123.80291366577148,11305.0950152874,10,1164,10,1208,13,2076,15,2599,1,12,1,0,1,9,1,70,38,32725,1,0,1,10,1,40,54,155533,1,18,1,35,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
Batquinn,555,2025-10-25T03:48:20.430008,1012.2363715171814,7119.01692199707,10,1164,16,2964,18,3924,18,3789,1,12,1,0,1,7,1,70,22,5675,1,0,1,10,1,40,24,7103,1,18,1,35,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
