timestamp,event_type,x_in_window,y_in_window,btn,key,scroll_dx,scroll_dy
14782,scroll,0,0,,,0,1
14830,move,1296,517,,,0,0
14848,move,1296,517,,,0,0
14863,move,1296,516,,,0,0
14874,move,1293,515,,,0,0
14884,move,1290,514,,,0,0
14895,move,1286,512,,,0,0
14906,move,1279,509,,,0,0
14916,move,1270,504,,,0,0
14926,move,1262,500,,,0,0
14936,move,1255,497,,,0,0
14948,move,1249,494,,,0,0
14958,move,1247,492,,,0,0
14968,move,1245,491,,,0,0
14981,move,1243,490,,,0,0
14993,move,1242,489,,,0,0
15016,move,1240,489,,,0,0
15028,move,1239,488,,,0,0
15038,move,1238,488,,,0,0
15049,move,1237,487,,,0,0
15060,move,1237,487,,,0,0
15071,move,1235,487,,,0,0
15081,move,1234,486,,,0,0
15092,move,1230,484,,,0,0
15103,move,1217,481,,,0,0
15114,move,1191,477,,,0,0
15124,move,1169,474,,,0,0
15135,move,1138,470,,,0,0
15146,move,1113,469,,,0,0
15156,move,1091,467,,,0,0
15167,move,1066,463,,,0,0
15178,move,1042,461,,,0,0
15188,move,1023,458,,,0,0
15199,move,1008,456,,,0,0
15210,move,992,455,,,0,0
15221,move,980,454,,,0,0
15232,move,970,454,,,0,0
15242,move,962,454,,,0,0
15253,move,958,454,,,0,0
15267,move,956,454,,,0,0
15278,move,954,454,,,0,0
15289,move,952,453,,,0,0
15300,move,950,452,,,0,0
15311,move,948,451,,,0,0
15322,move,946,449,,,0,0
15333,move,943,445,,,0,0
15343,move,940,439,,,0,0
15354,move,936,431,,,0,0
15365,move,930,417,,,0,0
15376,move,923,401,,,0,0
15386,move,918,388,,,0,0
15397,move,914,381,,,0,0
15407,move,912,377,,,0,0
15043,key_press,0,0,,s,0,0
15203,key_release,0,0,,s,0,0
14812,scroll,0,0,,,0,1
15417,move,910,371,,,0,0
15427,move,908,363,,,0,0
15438,move,903,352,,,0,0
15449,move,897,340,,,0,0
15459,move,892,329,,,0,0
15470,move,888,319,,,0,0
15480,move,885,309,,,0,0
15490,move,883,301,,,0,0
15500,move,881,291,,,0,0
15510,move,879,283,,,0,0
15521,move,877,277,,,0,0
15531,move,877,274,,,0,0
15548,move,877,272,,,0,0
15566,move,877,271,,,0,0
15576,move,877,271,,,0,0
15597,move,877,270,,,0,0
15608,move,877,269,,,0,0
15619,move,877,265,,,0,0
15630,move,877,260,,,0,0
15642,move,878,254,,,0,0
15653,move,880,249,,,0,0
15663,move,883,243,,,0,0
15674,move,887,239,,,0,0
15684,move,892,236,,,0,0
15694,move,898,234,,,0,0
15705,move,905,232,,,0,0
15715,move,918,229,,,0,0
15725,move,939,228,,,0,0
15736,move,972,228,,,0,0
15746,move,1013,232,,,0,0
15757,move,1067,238,,,0,0
15768,move,1105,244,,,0,0
15778,move,1151,254,,,0,0
15789,move,1221,266,,,0,0
15799,move,1308,284,,,0,0
15809,move,1392,304,,,0,0
15820,move,1506,333,,,0,0
15831,move,1608,358,,,0,0
15841,move,1711,380,,,0,0
15852,move,1827,402,,,0,0
15863,move,1961,425,,,0,0
15874,move,2074,446,,,0,0
15884,move,2169,464,,,0,0
15894,move,2257,485,,,0,0
15905,move,2347,506,,,0,0
15916,move,2419,526,,,0,0
15927,move,2470,542,,,0,0
15938,move,2500,552,,,0,0
15948,move,2515,556,,,0,0
15958,move,2522,559,,,0,0
15968,move,2527,561,,,0,0
15978,move,2533,562,,,0,0
15989,move,2539,563,,,0,0
15999,move,2542,565,,,0,0
15543,click,877,272,left,,0,0
15459,key_press,0,0,,w,0,0
15923,key_press,0,0,,s,0,0
15571,key_release,0,0,,w,0,0
16010,move,2545,567,,,0,0
16020,move,2548,570,,,0,0
16030,move,2551,576,,,0,0
16041,move,2560,589,,,0,0
16052,move,2577,609,,,0,0
16063,move,2602,639,,,0,0
16074,move,2632,670,,,0,0
16084,move,2663,700,,,0,0
16094,move,2688,722,,,0,0
16105,move,2705,737,,,0,0
16116,move,2716,747,,,0,0
16127,move,2719,752,,,0,0
16139,move,2719,754,,,0,0
16150,move,2718,756,,,0,0
16160,move,2715,757,,,0,0
16171,move,2710,757,,,0,0
16183,move,2705,757,,,0,0
16193,move,2700,756,,,0,0
16204,move,2691,753,,,0,0
16215,move,2675,749,,,0,0
16226,move,2653,744,,,0,0
16236,move,2629,738,,,0,0
16247,move,2614,735,,,0,0
16257,move,2608,735,,,0,0
16268,move,2605,735,,,0,0
16280,move,2602,735,,,0,0
16294,move,2601,735,,,0,0
16305,move,2600,735,,,0,0
16378,move,2600,735,,,0,0
16389,move,2602,735,,,0,0
16400,move,2610,733,,,0,0
16411,move,2627,726,,,0,0
16422,move,2653,717,,,0,0
16433,move,2686,707,,,0,0
16443,move,2730,699,,,0,0
16454,move,2798,695,,,0,0
16465,move,2887,694,,,0,0
16476,move,2982,696,,,0,0
16486,move,3060,703,,,0,0
16497,move,3144,713,,,0,0
16507,move,3209,721,,,0,0
16517,move,3260,729,,,0,0
16527,move,3308,737,,,0,0
16538,move,3355,747,,,0,0
16548,move,3380,752,,,0,0
16558,move,3395,755,,,0,0
16569,move,3404,757,,,0,0
16580,move,3407,757,,,0,0
16597,move,3407,757,,,0,0
16608,move,3407,757,,,0,0
16035,key_release,0,0,,d,0,0
16067,key_release,0,0,,s,0,0
16619,move,3404,755,,,0,0
16629,move,3397,750,,,0,0
16639,move,3389,744,,,0,0
16650,move,3381,740,,,0,0
16660,move,3375,736,,,0,0
16671,move,3367,733,,,0,0
16682,move,3358,729,,,0,0
16692,move,3343,723,,,0,0
16703,move,3325,718,,,0,0
16713,move,3309,714,,,0,0
16723,move,3293,709,,,0,0
16734,move,3276,706,,,0,0
16744,move,3260,704,,,0,0
16754,move,3244,702,,,0,0
16766,move,3227,701,,,0,0
16776,move,3201,701,,,0,0
16786,move,3182,703,,,0,0
16796,move,3164,707,,,0,0
16806,move,3147,711,,,0,0
16817,move,3130,716,,,0,0
16828,move,3115,722,,,0,0
16838,move,3100,726,,,0,0
16849,move,3083,731,,,0,0
16859,move,3072,734,,,0,0
16870,move,3063,735,,,0,0
16881,move,3055,735,,,0,0
16891,move,3049,735,,,0,0
16902,move,3041,733,,,0,0
16912,move,3034,730,,,0,0
16923,move,3026,727,,,0,0
16934,move,3020,724,,,0,0
16945,move,3016,722,,,0,0
16956,move,3011,720,,,0,0
16967,move,3004,718,,,0,0
16978,move,2998,716,,,0,0
16989,move,2992,714,,,0,0
16999,move,2987,714,,,0,0
17009,move,2981,713,,,0,0
17019,move,2974,713,,,0,0
17029,move,2963,713,,,0,0
17039,move,2950,715,,,0,0
17050,move,2935,719,,,0,0
17060,move,2920,723,,,0,0
17070,move,2908,728,,,0,0
17081,move,2899,732,,,0,0
17092,move,2891,735,,,0,0
17102,move,2887,736,,,0,0
17112,move,2884,736,,,0,0
17126,move,2883,736,,,0,0
17171,move,2882,736,,,0,0
17182,move,2882,734,,,0,0
17193,move,2882,730,,,0,0
17203,move,2881,726,,,0,0
17213,move,2881,723,,,0,0
17224,move,2881,720,,,0,0
17235,move,2880,717,,,0,0
17248,move,2880,715,,,0,0
17270,move,2880,713,,,0,0
17324,move,2880,713,,,0,0
17371,move,2879,713,,,0,0
17385,move,2878,713,,,0,0
17396,move,2877,713,,,0,0
17408,move,2875,713,,,0,0
17420,move,2874,713,,,0,0
17434,move,2871,713,,,0,0
17445,move,2869,714,,,0,0
17456,move,2863,715,,,0,0
17467,move,2854,716,,,0,0
17478,move,2842,717,,,0,0
17489,move,2827,717,,,0,0
17499,move,2814,717,,,0,0
17509,move,2800,717,,,0,0
17520,move,2778,717,,,0,0
17530,move,2755,714,,,0,0
17541,move,2726,711,,,0,0
17551,move,2695,707,,,0,0
17561,move,2674,706,,,0,0
17572,move,2654,704,,,0,0
17583,move,2636,702,,,0,0
17593,move,2622,701,,,0,0
17604,move,2611,700,,,0,0
17614,move,2606,700,,,0,0
17625,move,2601,700,,,0,0
17636,move,2598,700,,,0,0
17646,move,2595,701,,,0,0
17657,move,2594,702,,,0,0
17677,move,2592,702,,,0,0
17755,move,2592,702,,,0,0
17808,move,2592,703,,,0,0
17820,move,2592,704,,,0,0
17831,move,2592,707,,,0,0
17842,move,2592,714,,,0,0
17852,move,2591,721,,,0,0
17863,move,2590,727,,,0,0
17874,move,2587,734,,,0,0
17884,move,2584,740,,,0,0
17895,move,2579,747,,,0,0
17905,move,2572,752,,,0,0
17915,move,2565,756,,,0,0
17926,move,2558,759,,,0,0
17937,move,2551,761,,,0,0
17947,move,2545,762,,,0,0
17958,move,2540,762,,,0,0
17968,move,2534,762,,,0,0
17979,move,2528,760,,,0,0
17990,move,2521,757,,,0,0
18001,move,2513,753,,,0,0
18012,move,2508,750,,,0,0
18022,move,2506,750,,,0,0
18037,move,2506,749,,,0,0
18062,move,2505,749,,,0,0
18073,move,2504,748,,,0,0
18083,move,2503,748,,,0,0
18094,move,2502,747,,,0,0
18105,move,2500,744,,,0,0
18115,move,2496,741,,,0,0
18126,move,2492,735,,,0,0
18136,move,2488,730,,,0,0
18146,move,2480,720,,,0,0
18156,move,2474,713,,,0,0
18167,move,2467,705,,,0,0
18177,move,2463,701,,,0,0
18191,move,2460,698,,,0,0
18201,move,2459,697,,,0,0
18232,move,2458,697,,,0,0
18247,move,2458,696,,,0,0
18290,click,2458,696,left,,0,0
